Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Normal	0	0	271	1	1	3	150	merc01	merc41	100	100	45	20	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	10	0	1	13	Fire Arrow	4	25	8	4	13																									5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	100	100	221	20	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial1	75	Inner Sight	4	10	0	8	13	Fire Arrow	4	69	0	11	13																									5	15	2	50000	ama
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	100	100	533	40	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial1	75	Inner Sight	4	10	0	16	13	Fire Arrow	4	69	0	19	13																									5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	3	150	merc01	merc41	150	105	45	20	15	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	10	0	1	13	Cold Arrow	4	25	2	4	13																									5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	105	221	20	147	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial2	75	Inner Sight	4	10	0	8	13	Cold Arrow	4	36	0	11	13																									5	15	2	50000	ama
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	105	509	25	435	18	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial2	75	Inner Sight	4	10	0	16	13	Cold Arrow	4	36	0	19	13																									5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	110	199	20	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial1	75	Inner Sight	4	10	0	7	13	Fire Arrow	4	69	0	10	13																									5	15	2	50000	ama
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	110	487	25	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial1	75	Inner Sight	4	10	0	15	13	Fire Arrow	4	69	0	18	13																									5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	115	199	20	132	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial2	75	Inner Sight	4	10	0	7	13	Cold Arrow	4	69	0	10	13																									5	15	2	50000	ama
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	115	487	25	420	18	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial2	75	Inner Sight	4	10	0	15	13	Cold Arrow	4	69	0	18	13																									5	15	2	50000	ama
