Name	Id	*StringName	GroupName	*StringChinese
Null	0	Null		
Act 1 - Town	1	Rogue Encampment	[MDK MOD]Rogue Encampment	[A1]俠盜營地
Act 1 - Blood Moor	2	Blood Moor	[MDK MOD]Blood Moor	[A1]鮮血荒地
Act 1 - Cold Plains	3	Cold Plains	[MDK MOD]Cold Plains	[A1]冰冷之原
Act 1 - Stony Field	4	Stony Field	[MDK MOD]Stony Field	[A1]亂石曠野
Act 1 - Dark Wood	5	Dark Wood	[MDK MOD]Dark Wood	[A1]黑暗森林
Act 1 - Black Marsh	6	Black Marsh	[MDK MOD]Black Marsh	[A1]黑色荒地
Act 1 - Tamoe Highland	7	Tamoe Highland	[MDK MOD]Tamoe Highland	[A1]泰摩高地
Act 1 - Den of Evil	8	Den of Evil	[MDK MOD]Den of Evil	[A1]邪惡洞窟
Act 1 - Cave	9	Cave	[MDK MOD]Cave	[A1冰冷之原]洞穴
Act 1 - Underground Passage	10	Underground Passage	[MDK MOD]Underground Passage	[A1黑暗森林]地底通道
Act 1 - Hole	11	Hole	[MDK MOD]Hole	[A1黑色荒地]地洞
Act 1 - Pit	12	Pit	[MDK MOD]Pit	[A1泰摩高地]地穴
Act 1 - Burial Grounds	13	Burial Grounds	[MDK MOD]Burial Grounds	[A1]埋骨之地
Act 1 - Crypt	14	Crypt	[MDK MOD]Crypt	[A1]墓地
Act 1 - Mausoleum	15	Mausoleum	[MDK MOD]Mausoleum	[A1]大陵墓
Act 1 - Forgotten Tower	16	Forgotten Tower	[MDK MOD]Forgotten Tower	[A1]遺忘之塔
Act 1 - Monastery Gate	17	Monastery Gate	[MDK MOD]Monastery Gate	[A1]修道院大門
Act 1 - Outer Cloister	18	Outer Cloister	[MDK MOD]Outer Cloister	[A1]外側迴廊
Act 1 - Barracks	19	Barracks	[MDK MOD]Barracks	[A1]兵營
Act 1 - Jail	20	Jail Level 1	[MDK MOD]Jail	[A1]監牢
Act 1 - Inner Cloister	21	Inner Cloister	[MDK MOD]Inner Cloister	[A1]內側迴廊
Act 1 - Cathedral	22	Cathedral	[MDK MOD]Cathedral	[A1]大教堂
Act 1 - Catacombs	23	Catacombs	[MDK MOD]Catacombs	[A1]地下墓穴
Act 1 - Tristram	24	Tristram	[MDK MOD]Tristram	[A1]崔斯特姆
Act 1 - Moo Moo Farm	25	Moo Moo Farm	[MDK MOD]MooMooFarmGroup	[A1]?c8不存在的關卡(哞哞農莊)?c0
Act 2 - Town	26	Lut Gholein	[MDK MOD]Lut Gholein	[A2]魯高因
Act 2 - Rocky Waste	27	Rocky Waste	[MDK MOD]Rocky Waste	[A2]碎石荒地
Act 2 - Dry Hills	28	Dry Hills	[MDK MOD]Dry Hills	[A2]乾土高地
Act 2 - Far Oasis	29	Far Oasis	[MDK MOD]Far Oasis	[A2]遙遠的綠洲
Act 2 - Lost City	30	Lost City	[MDK MOD]Lost City	[A2]失落古城
Act 2 - Valley of Snakes	31	Valley of Snakes	[MDK MOD]Valley of Snakes	[A2]群蛇峽谷
Act 2 - Canyon of the Magi	32	Canyon of the Magi	[MDK MOD]Canyon of the Magi	[A2]賢者之穀
Act 2 - Sewers	33	Sewers	[MDK MOD]Lut Gholein Sewers	[A2]魯高因下水道
Act 2 - Harem	34	Harem	[MDK MOD]Harem	[A2]後宮
Act 2 - Palace Cellar	35	Palace Cellar	[MDK MOD]Palace Cellar	[A2]皇宮地窖
Act 2 - Stony Tomb	36	Stony Tomb	[MDK MOD]Stony Tomb	[A2]古老石墓
Act 2 - Halls of the Dead	37	Halls of the Dead	[MDK MOD]Halls of the Dead	[A2]死亡之殿
