Name	Source	ChineseName	ChineseEffect	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Sturdy		结实	防御10%-20%	0	1	1	4		3				0	101	ac%		20	30									lred	armo												0	0
Strong		强壮	防御31%-40%	0	1	1	9		6				0	101	ac%		31	40									lred	armo												0	0
Glorious		光荣	防御41%-50%	0	1	1	19		14				0	101	ac%		41	50									lred	armo												0	0
Blessed		祝福	防御51%-65%	0	1	1	25		18				0	101	ac%		51	65									lred	armo												0	0
Saintly		崇高	防御66%-80%	0	1	1	31		23				0	101	ac%		66	80									lred	armo												0	0
Holy		神圣	防御81%-100%	0	1	1	36		27				0	101	ac%		81	100									lred	armo												0	0
Devious		N/A	0	0	1	1	7		5				0	103	red-mag	0	1	1									lred	shld												0	0
Fortified		N/A	N/A	0	1	1	14		10				0	103	red-mag	0	2	2									lred	shld												0	0
Jagged		锯齿	最大伤害1-2	0	1	1	1	15	1				0	106	dmg%	0	10	20									lred	weap												0	0
Deadly		致命	伤害21%-30%	0	1	1	5	20	3				0	106	dmg%	0	21	30									lred	weap												0	0
Vicious		恶毒	伤害31%-40%	0	1	1	8	25	6				0	106	dmg%	0	31	40									lred	weap												0	0
Brutal		残酷	伤害41%-50%	0	1	1	14	30	10				0	106	dmg%	0	41	50									lred	weap												0	0
Massive		稳重	伤害51%-65%	0	1	1	20	35	15				0	106	dmg%	0	51	65									lred	weap												0	0
Savage		野蛮	伤害66%-80%	0	1	1	26		19				0	106	dmg%	0	66	80									lred	weap							staf	wand				0	0
Merciless		绝情	伤害81%-100%	0	1	1	32		24				0	106	dmg%	0	81	100									lred	weap							staf	wand				0	0
