Name	Source	ChineseName	ChineseEffect	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Health		強健之	物理伤害减少1	0	1	1	7		5					1	red-dmg		1	1									lred	tors	helm	shld	ring	amul								0	0
of Protection		保護之	物理伤害减少2	0	1	1	18		13					1	red-dmg		2	2									lred	ring	amul											0	0
of Absorption		緩衝之	物理伤害减少3	0	1	1	26		19					1	red-dmg		3	3									lred	amul												0	0
of Life		生命之	物理伤害减少4	0	1	1	35		26					1	red-dmg		4	4									lred	amul												0	0
of Warding		結界之	法术伤害减少1	0	1	1	7		5					2	red-mag		1	1									lred	tors	helm	shld	ring	amul								0	0
of the Sentinel		戒衛之	法术伤害减少2	0	1	1	18		13					2	red-mag		2	2									lred	ring	amul											0	0
of Guarding		護法之	法术伤害减少3	0	1	1	26		19					2	red-mag		3	3									lred	amul												0	0
of Negation		消魔之	法术伤害减少4-6	0	1	1	35		26					2	red-mag		4	4									lred	amul												0	0
of Piercing		穿透之	无视防御	0	1	1	25		18					3	ignore-ac		1	1									lred	rod												0	0
of Bashing		猛擊之	0	0	1	1	16		12					4	dmg-ac		-25	-40									lred	mele							wand	staf				0	0
of Puncturing		擊穿之	0	0	1	1	6		4					4	dmg-ac		-10	-20									lred	mele							wand	staf				0	0
of Thorns		棘刺之	反弹伤害1-3	0	1	1	14		10					5	thorns		1	3									lred	tors	helm	shld	belt									0	0
of Spikes		銳刺之	反弹伤害4-6	0	1	1	21		15					5	thorns		2	6									lred	tors	helm	shld	belt									0	0
of Readiness		迅速之	攻击速度10%	0	1	1	1	20	1					6	swing1		10	10									lred	weap	glov											0	0
of Alacrity		輕快之	攻击速度20%	0	1	1	8		6					6	swing2		20	20									lred	weap												0	0
of Swiftness		迅捷之	攻击速度30%	0	1	1	19		14					6	swing2		30	30									lred	mele							wand	staf				0	0
of Quickness		快速之	攻击速度40%	0	1	1	25		18					6	swing3		40	40									lred	mele							wand	staf				0	0
of Blocking		格擋之	格挡几率10%，快速格挡15%	0	1	1	1		1					7	block		10	10									lred	shld												0	0
of Deflecting		偏折之	格挡几率20%，快速格挡30%	0	1	1	11		8					7	block		20	20									lred	shld												0	0
of the Apprentice		學徒之	施法速度10%	0	1	1	5		3					8	cast1		10	10									lred	rod	ring	amul	tors	shld								0	0
of the Magus		魔導師之	施法速度20%	0	1	1	17		12					8	cast3		20	20									lred	rod	tors	shld										0	0
of Frost		冰霜之	冰冷伤害1，持续1秒	0	1	1	4	10	3					9	cold-min		1	1	cold-max		1	4	cold-len		125	125	lred	weap												0	0
of the Glacier		冰河之	冰冷伤害2-4到4-15，持续4秒	0	1	1	18		13					9	cold-min		4	4	cold-max		4	12	cold-len		150	150	lred	mele	miss											0	0
of Frost		冰霜之	冰冷伤害1，持续1秒	0	1	1	55		41					9	cold-min		1	1	cold-max		1	4	cold-len		125	125	lred	belt	amul											0	0
of Warmth		融冰之	冰冻时间减半	0	1	1	10		7					10	half-freeze		1	1									lred	shld	boot	glov	ring	amul								0	0
of Flame		火炎之	火焰伤害1到2-5	0	1	1	4	10	3					11	fire-min		1	1	fire-max		2	6					lred	weap												0	0
of Fire		火焰之	火焰伤害1-4到6-11	0	1	1	15	25	11					11	fire-min		2	2	fire-max		6	11					lred	weap												0	0
of Burning		燃燒之	火焰伤害5-9到10-20	0	1	1	25	40	18					11	fire-min		10	10	fire-max		10	20					lred	weap												0	0
of Flame		火炎之	火焰伤害1到2-5	0	1	1	40		30					11	fire-min		1	1	fire-max		2	6					lred	glov	ring	amul										0	0
of Shock		觸電之	闪电伤害1到6-8	0	1	1	4	10	3					12	ltng-min		1	1	ltng-max		8	8					lred	weap												0	0
of Lightning		閃電之	闪电伤害1到9-16	0	1	1	15	25	11					12	ltng-min		1	1	ltng-max		16	16					lred	weap												0	0
of Thunder		雷電之	闪电伤害1到17-40	0	1	1	25	40	18					12	ltng-min		1	1	ltng-max		32	32					lred	weap												0	0
of Shock		觸電之	闪电伤害1到6-8	0	1	1	50		37					12	ltng-min		1	1	ltng-max		8	8					lred	boot	ring	amul	weap				miss	rod				0	0
of Craftsmanship		工匠之	最大伤害1	0	1	1	1	10	1					13	dmg-max		1	2									lred	weap	ring	amul										0	0
of Quality		優良之	最大伤害2	0	1	1	4	20	3					13	dmg-max		2	2									lred	weap												0	0
of Maiming		殘害之	最大伤害3-4	0	1	1	7	30	5					13	dmg-max		3	4									lred	weap												0	0
