pet type	group	basemax	warp	range	partysend	unsummon	automap	name	drawhp	icontype	baseicon	mclass1	micon1	mclass2	micon2	mclass3	micon3	mclass4	micon4
none																			
single		1	1		1		1												
valkyrie		4	1		1	1	1	StrUI4	1	1	valkarieicon								
golem		4	1		1	1	1	StrUI0	1	3	earthgolumicon	290	bloodgolumicon	291	metalgolumicon	292	firegolumicon		
skeleton		0	1		1	1	1	StrUI1	1	2	skeletonicon								
skeletonmage		0	1		1	1	1	StrUI2	1	2	skeletonmageicon								
revive		0	1		1	1	1	StrUI3	1	2	revivedicon								
hireable		1	1		1		1		1		rogueicon	338	act2hireableicon	359	act3hireableicon	561	barbhirable_icon	560	barbhirable_icon
dopplezon		0				1	1		1										
invis		0	1																
raven		20	1					strUI5		2	raven								
spiritwolf		7	1		1	1	1	strUI6	1	2	wolf								
fenris		7	1		1	1	1	UIFenirsui	1	2	wolf								
totem		0	1		1	1	1	strUI14	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs				
vine		0	1		1	1	1	strUI13	1	3	plaguepoppy	426	cycleoflife	427	vines				
grizzly		4	1		1	1	1	strUI7	1	1	bear								
shadowwarrior		4	1		1	1	1	UIShadowMinion	1	1	shadowassassin								
assassintrap		0		1			1	StrSklTree30		2	revivedicon								
pettrap		0		1															
hydra		36		1			1	skillname62		2	hydraicon								
oaksage		0	1		1	1	1	Skillan227	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs				
heartofwolverine		0	1		1	1	1	Skillan237	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs				
spiritofbarbs		0	1		1	1	1	Skillan247	1	3	oaksage	423	heartofwolverine	422	spiritofbarbs				
plaguepoppy		0	1		1	1	1	Skillan223	1	3	plaguepoppy	426	cycleoflife	427	vines				
cycleoflife		0	1		1	1	1	Skillan232	1	3	plaguepoppy	426	cycleoflife	427	vines				
vines		0	1		1	1	1	Skillan242	1	3	plaguepoppy	426	cycleoflife	427	vines				
