Superunique	Name	NameX	Class	BackupClass	Res	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC Desecrated	TC(N)	TC(N) Desecrated	TC(H)	TC(H) Desecrated	*eol
Bishibosh	BishiboshName	Bishibosh	fallenshaman1	fallenshaman1	?c0(?c415/?c1100?c0/B4%)	0		8	9	0	2	2	1	0		11	11	11	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Bonebreak	BonebreakName	Bonebreak	skeleton1	skeleton1	?c0(?c433/?c9100/?c275?c0/B10%)	1		5	8	0	5	5	1	0		5	5	5	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Coldcrow	ColdcrowName	Coldcrow	cr_archer1	cr_archer1	?c0(?c415/?c125/?c9100/?c325/?c225?c0/B13%)	2		18	0	0	4	4	1	0		18	18	18	Act 1 Super A		Act 1 (N) Super A		Act 1 (H) Super A	Act 1 (H) Super A Desecrated	0
Rakanishu	RakanishuName	Rakanishu	fallen2	fallen2	?c0(?c415/?c1110/?c340?c0/B16%)	3		17	6	0	8	8	0	0	1	29	29	29	Act 1 Super B		Act 1 (N) Super B		Act 1 (H) Super B	Act 1 (H) Super B Desecrated	0
Treehead WoodFist	Treehead WoodFistName	Treehead WoodFist	brute2	brute2	?c0(?c450/?c3120?c0/B6%)	4		5	6	0	2	2	1	0	1	4	4	4	Act 1 Super B		Act 1 (N) Super B		Act 1 (H) Super B	Act 1 (H) Super B Desecrated	0
Griswold	GriswoldName	Griswold	griswold	griswold	?c0(?c450/?c950/?c2120?c0/B6%)	5		7	0	0	0	0	1	0	1	17	17	17	Set Drop	Set Drop	Set Drop (N)	Set Drop (N)	Set Drop (H)	Set Drop (H)	0
The Countess	The CountessName	The Countess	corruptrogue3	corruptrogue3	?c0(?c420/?c820/?c133/?c933/?c3130/?c220?c0/B25%)	6	countess	9	0	0	6	6	1	0		16	16	16	Countess	Countess Desecrated A	Countess (N)	Countess (N) Desecrated A	Countess (H)	Countess (H) Desecrated A	0
Pitspawn Fouldog	Pitspawn FouldogName	Pitspawn Fouldog	bighead2	bighead2	?c0(?c425/?c9105?c0/B10%)	7		7	18	0	4	4	1	0		31	31	31	Act 1 Super B		Act 1 (N) Super B		Act 1 (H) Super B	Act 1 (H) Super B Desecrated	0
Flamespike the Crawler	Flamespike the CrawlerName	Flamespike the Crawler	quillrat4	quillrat4	?c0(?c450/?c350?c0/B10%)	8		9	7	0	6	6	1	0		16	16	16	Act 1 Unique C		Act 1 (N) Unique C		Act 1 (H) Unique C	Act 1 (H) Unique C Desecrated	0
Boneash	BoneashName	Boneash	skmage_pois3	skmage_pois3	?c0(?c433/?c315/?c275?c0/B15%)	9		8	5	18	0	0	1	0		15	15	15	Act 1 Super C		Act 1 (N) Super C		Act 1 (H) Super C	Act 1 (H) Super C Desecrated	0
