name	Cnname	compactsave	version	level	ShowLevel	spawnable	PermStoreItem	multibuy	useable	type	type2	auto prefix	levelreq	reqstr	reqdex	rarity	speed	nodurability	cost	gamble cost	code	alternategfx	namestr	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	Transmogrify	TMogType	TMogMin	TMogMax	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	lightradius	belt	autobelt	stackable	minstack	maxstack	spawnstack	quest	questdiffcheck	missiletype	spellicon	pSpell	state	cstate1	cstate2	len	stat1	calc1	stat2	calc2	stat3	calc3	spelldesc	spelldescstr	spelldescstr2	spelldesccalc	spelldesccolor	durwarning	qntwarning	gemoffset	BetterGem	bitfield1	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	Nameable	diablocloneweight
Amulet	護身符	0	0	1	1	1			0	amul			0			4	0	1	2400	50400	amu	amu	amu	16	1	1	1	1	2	flpamu	invamu		0	xxx			item_amulet	12	item_amulet	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	AmuletInfo				0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Ring	戒指	0	0	1	1	1			0	ring			0			4	0	1	1800	40000	rin	rin	rin	16	1	1	1	1	2	flprin	invrin		0	xxx			item_ring	12	item_ring	0	0	5	0	0	0	0	0	0	0			0	-1	-1											1	RingInfo				0	0	0	non	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
Stamina Potion	精力藥水	1	0	0	0	1	1	1	1	spot			0			1	0	1	25		vps	vps	vps	16	1	1	0	0	0	flpwps	invwps		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0			0	-1	9	staminapot			750	staminarecoverybonus	5000										0	0	0	non	0					255					255	2	4			255	1	1			255	3	5	3	5	255					255					255					255	3	5			255	1	1			255					255	2	3			255					255	2	3			255	2	3			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Antidote Potion	解毒藥水	1	0	0	0	1	1	1	1	apot			0			1	0	1	40		yps	yps	yps	16	1	1	0	0	0	flpnps	invnps		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0			0	-1	6	antidote	poison		750	poisonresist	50	maxpoisonresist	10								0	0	0	non	0					255					255	2	4			255	1	1			255	9	15	9	15	255					255					255					255	8	11			255	1	1			255					255	8	11			255					255	3	5			255	3	5			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Thawing Potion	融冰藥水	1	0	0	0	1	1	1	1	wpot			0			2	0	1	25		wms	yps	wms	16	1	1	0	0	0	flpyps	invyps		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	0	0	0	0	0			0	-1	6	thawing	freeze	cold	750	coldresist	50	maxcoldresist	10								0	0	0	non	0					255					255	1	2			255	1	1			255	3	5	3	5	255					255					255					255	6	9			255	1	1			255					255	6	9			255					255	2	4			255	2	4			255	1	1			255	1	1			255	0	0	0	xxx	xxx				
Minor Healing Potion	弱效生命藥水	1	0	1	0	1	1	1	1	hpot			0			1	0	1	30		hp1	hp1	hp1	16	1	1	0	0	0	flprps	invhp1		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			192	hpregen	30					2	ItemStats1q		30		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1			255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Light Healing Potion	輕效生命藥水	1	0	1	0	1	1	1	1	hpot			0			1	0	1	75		hp2	hp2	hp2	16	1	1	0	0	0	flprps	invhp2		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			160	hpregen	60					2	ItemStats1q		60		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1			255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Healing Potion	生命藥水	1	0	1	0	1	1	1	1	hpot			0			1	0	1	125		hp3	hp3	hp3	16	1	1	0	0	0	flprps	invhp3		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			171	hpregen	100					2	ItemStats1q		100		0	0	0	non	0					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255					255	1	1	1	1	255					255					255	1	1	1	1	255	1	1			255					255					255					255					255	1	1			255					255					255	0	0	0	xxx	xxx				
Greater Healing Potion	強效生命藥水	1	0	1	0	1	1	1	1	hpot			0			1	0	1	250		hp4	hp4	hp4	16	1	1	0	0	0	flprpl	invhp4		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			192	hpregen	180					2	ItemStats1q		180		0	0	0	non	0					255					255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255	1	1	1	1	255					255					255	1	1	1	1	255	1	1	1	1	255					255					255					255	1	1	1	1	255	1	1			255	1	1	1	1	255	1	1	1	1	255	0	0	0	xxx	xxx				
Super Healing Potion	特效生命藥水	1	0	1	0	1	1	1	1	hpot			0			1	0	1	500		hp5	hp5	hp5	16	1	1	0	0	0	flprpl	invhp5		0	xxx			item_potion	14	item_potion_drink	0	0	5	0	1	1	0	0	0	0			0	-1	3	healthpot			256	hpregen	320					2	ItemStats1q		320		0	0	0	non	0					255					255	1	1	1	1	255	1	1	1	1	255					255	1	1	1	1	255					255					255	1	1	1	1	255					255					255					255					255					255					255					255					255	0	0	0	xxx	xxx				
