mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	armor	weapon	shield	scepter	wand	staff	bow	boots	gloves	belt				
ac-miss		26	35					1	1	0	0	0	0	0	1	1	1				
ac-hth		21	30					1	1	1	0	1	1	1	0	0	0				
att		11	15	sock		2	6	0	1	0	1	0	1	1	0	0	0				
att		16	20	ethereal		1	1	0	1	0	0	0	0	1	0	0	0				
att		21	25	dur%		10	15	0	1	0	1	0	1	1	0	0	0				
ac%		21	25	dur%		10	15	1	0	1	0	0	0	0	1	1	1				
ac%		11	15	sock		2	6	1	0	1	0	0	0	0	1	1	1				
ac%		16	20	ethereal		1	1	1	0	1	0	0	0	0	1	1	1				
dmg%		21	25					0	1	0	1	0	1	1	0	0	0				
dmg%		11	15	sock		2	6	0	1	0	1	0	1	1	0	0	0				
dmg%		16	20	ethereal		1	1	0	1	0	0	1	1	1	0	0	0				
dur%		10	10					1	1	0	1	1	1	1	1	1	1				
dur%		11	11	sock		2	6	1	1	1	0	0	0	0	1	1	1				
dur%		12	12					1	1	1	0	0	0	0	1	1	1				
dmg		10	10					0	1	0	1	0	0	1	0	0	0				
dmg		11	15	sock		2	6	0	1	0	1	0	1	1	0	0	0				
dmg		16	20	ethereal		1	1	0	1	0	0	0	1	1	0	0	0				
