Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ConditionCalc	firstLadderSeason	lastLadderSeason	noAlwaysSpawn	QuestFlag	QuestFlagEx	*eol
Gold			1						gld	1																												0
Jewelry A			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2																		0
Jewelry B			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2																		0
Jewelry C			1						rin	8	amu	4	jew	2	cm3	2	cm2	2	cm1	2																		0
Chipped Gem			1						gcv	3	gcy	3	gcb	3	gcg	3	gcr	3	gcw	3	skc	2																0
Flawed Gem			1						gfv	3	gfy	3	gfb	3	gfg	3	gfr	3	gfw	3	skf	2																0
Normal Gem			1						gsv	3	gsy	3	gsb	3	gsg	3	gsr	3	gsw	3	sku	2																0
Flawless Gem			1						gzv	3	gly	3	glb	3	glg	3	glr	3	glw	3	skl	2																0
Perfect Gem			1						gpv	3	gpy	3	gpb	3	gpg	3	gpr	3	gpw	3	skz	2																0
Ammo			1						aqv	1	cqv	1																										0
Misc 0			1						key	1	tsc	1	isc	1																								0
Misc 1			1						key	1	tsc	1	isc	1																								0
Misc 2			1						key	1	tsc	1	isc	1																								0
Hpotion 1			1					18	hp5	1	mp5	2	rvl	1	rvs	2	rvs	1																				0
Hpotion 2			1					18	hp5	1	mp5	2	rvl	1	rvs	2	mp3	1	rvs	1																		0
Hpotion 3			1					18	hp5	1	mp5	2	rvl	1	rvs	2	mp4	1	rvs	1																		0
Hpotion 4			1					18	hp5	1	mp5	2	rvl	1	rvs	2	mp5	1	rvs	1																		0
Hpotion 5			1					18	hp5	1	mp5	2	rvl	1	rvs	2	rvs	1																				0
Hpotion 6			1					18	hp5	1	mp5	2	rvl	1	rvs	2	rvs	1																				0
